Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q44,"BSS84AK,215",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,41.875,-12.0405,270.0,top
Q45,ZXMP10A17GTA,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,34.495,-3.5505,180.0,top
Q46,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,76.24525,-35.6405,270.0,top
Q51,ME50P06-G,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,141.072,-58.050433,0.0,top
Q54,SI2309A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,118.38,-32.9305,270.0,top
Q56,DMP3028LK3-13,TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL,120.119,-126.650433,0.0,top
Q58,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,50.9095,-45.115,270.0,top
Q60,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,57.577,-45.115,270.0,top
Q61,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,64.2445,-45.115,270.0,top
Q62,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,70.912,-45.115,270.0,top
Q63,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,118.95525,-1.8005,270.0,top
Q64,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,104.47525,-121.6505,270.0,top
Q65,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,118.95525,-6.431433,270.0,top
Q66,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,149.85525,-56.2205,270.0,top
Q67,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,118.9995,-45.115,270.0,top
Q68,CSD17577Q5A,DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1,36.8895,-130.705,270.0,top
Q69,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,118.95525,-11.062366,270.0,top
Q70,SIRA99DP-T1-GE3,POWERPAK-SO-8_L5.9-W4.9-P1.27-LS6.2-BL,78.3,-20.895,0.0,top
Q71,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,82.45525,-145.5005,270.0,top
Q72,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,87.275,-145.4505,270.0,top
R101,100kΩ,R0201,123.50775,-131.71675,0.0,top
R144,10Ω,R0402,126.54025,-96.229933,0.0,top
R145,10Ω,R0402,126.54025,-98.385116,0.0,top
R146,10Ω,R0402,126.54025,-100.540299,0.0,top
R147,10Ω,R0402,126.54025,-102.695482,0.0,top
R148,10Ω,R0402,126.54025,-104.850665,0.0,top
R149,10Ω,R0402,126.54025,-107.005848,0.0,top
R174,0Ω,R0603,126.31,-63.63375,0.0,top
R175,220kΩ,R0201,143.47775,-0.46675,0.0,top
R176,30kΩ,R0201,143.47775,-2.413933,0.0,top
R180,909kΩ,R0201,123.50775,-133.663933,0.0,top
R181,909kΩ,R0201,124.57775,-23.20675,0.0,top
R182,909kΩ,R0201,123.50775,-135.611116,0.0,top
R278,0Ω,R0402,124.90025,-17.63475,0.0,top
R284,0Ω,R0201,134.32775,-93.96675,0.0,top
R285,0Ω,R0201,134.32775,-95.913933,0.0,top
R286,0Ω,R0201,134.32775,-97.861116,0.0,top
R287,0Ω,R0201,134.32775,-99.808299,0.0,top
R288,0Ω,R0201,134.32775,-101.755482,0.0,top
R289,0Ω,R0201,134.32775,-103.702665,0.0,top
R290,1MΩ,R0201,124.57775,-25.153933,0.0,top
R291,330Ω,R0201,124.57775,-27.101116,0.0,top
R292,470Ω,R0201,124.57775,-29.048299,0.0,top
R293,1.2kΩ,R0201,124.57775,-30.995482,0.0,top
R294,1.2kΩ,R0201,124.57775,-32.942665,0.0,top
R310,47kΩ,R0201,143.47775,-4.361116,0.0,top
R336,1.2kΩ,R0201,124.57775,-34.889848,0.0,top
R342,100Ω,R1206,104.96725,-114.38525,0.0,top
R343,20Ω,R0603,78.04,-113.96675,0.0,top
R344,20Ω,R0603,78.04,-116.44025,0.0,top
R345,20Ω,R0603,78.04,-118.91375,0.0,top
R346,20Ω,R0603,78.04,-121.38725,0.0,top
R348,100Ω,R0603,78.04,-123.86075,0.0,top
R349,100Ω,R0603,78.04,-126.33425,0.0,top
R350,10K,R0402,30.45025,-44.80475,0.0,top
R351,10K,R0402,30.45025,-46.959933,0.0,top
R353,10MΩ,R0603,21.26,-22.28675,0.0,top
